problem_theme,feedback_count,buckets,example_feedbacks
speech recognition/transcript inaccurate,13,Conversational | Technical | UI/UX,"Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was... || Indhu R: [09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but... || Kavi🫴🏻💗: [09/04/26, 2:33:23 PM] Hi, I am kaviyarasan, I am using la laptop. The app has a clean and user-friendly UI, making it easy to navigate. However, there is an issue with the speech-to-text feature. When I speak in Engl... || Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d... || Samuel Devanathan: [09/04/26, 2:36:38 PM] Hi Ma'am I'm SamueI ,I was testing on my laptop ,I noticed that the voice recognition sometimes misinterprets words—for example, it hears one stack instead of MERN stack. Also, there's a small U..."
transcript/text not shown,5,Technical | UI/UX,",👊👊👊: [09/04/26, 2:16:46 PM] [Audio note transcription] Hi, I am Seth guy 2 and atr. and class I did beforedigital file rd so with the Gaming You so was later, and overload Next screen and tab Right, I ask me don't have lev... || Alice Mary: [09/04/26, 2:18:13 PM] I am Alice Mary 1.The transcript was not available for me 2.The response time was slow 3. I don't know where the exit option was <This message was edited> || Dhanushkumar: [09/04/26, 2:34:32 PM] [Audio note transcription] Hi, I am Dhanos Kumar. I use the interview application in Lata. First, you know, you aid in the sopran. When speak on the other, other chat box, Marie, in the UI, you ... || Indhu R: [09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but... || Ramya ✨: [09/04/26, 2:33:05 PM] Sometimes I answer the question, but my response is not accepted. It shows “taking time,” and the sentence I speak does not appear in the UI."
answer not captured/submitted,4,Technical,",👊👊👊: [09/04/26, 2:16:46 PM] [Audio note transcription] Hi, I am Seth guy 2 and atr. and class I did beforedigital file rd so with the Gaming You so was later, and overload Next screen and tab Right, I ask me don't have lev... || BramikhaHebrews: [09/04/26, 2:18:22 PM] I am Anu Bramikha. When I take the pre-diagnostic test through Mobile, it asks questions and I answer them, but sometimes my answer does not get submitted. It seems like I don’t know the answer,... || Ramya ✨: [09/04/26, 2:33:05 PM] Sometimes I answer the question, but my response is not accepted. It shows “taking time,” and the sentence I speak does not appear in the UI. || Saru: [09/04/26, 2:18:39 PM] [Audio note transcription] Hello, I am Sarlata, now on the laptop, on the website, you use one hand and you will learn another in the chain. But in the next one, I will go to the patient to come..."
latency/slow response,4,Technical | UI/UX,"Alice Mary: [09/04/26, 2:18:13 PM] I am Alice Mary 1.The transcript was not available for me 2.The response time was slow 3. I don't know where the exit option was <This message was edited> || Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was... || Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d... || Ramya ✨: [09/04/26, 2:33:05 PM] Sometimes I answer the question, but my response is not accepted. It shows “taking time,” and the sentence I speak does not appear in the UI."
question skipped/auto-advance,4,Technical | UI/UX,"BramikhaHebrews: [09/04/26, 2:18:22 PM] I am Anu Bramikha. When I take the pre-diagnostic test through Mobile, it asks questions and I answer them, but sometimes my answer does not get submitted. It seems like I don’t know the answer,... || Hari Aswin 🦅💥: [09/04/26, 2:17:22 PM] [Audio note transcription] Hi mom, I am Harishan. I am the full application news for the Bhutan. I am full on the first two minutes waiting for the agent to come to connect. Connect to the first... || Nathi 💜🌊: [09/04/26, 2:20:00 PM] 1. Na ethuvum pesama 2 time (tap to speak) Button click panna antha current question ku answer pananmaley next question ku move agiruchi apdy illama answer the privious question antha mari ethac... || 🥰..................💙: [09/04/26, 2:25:26 PM] I am Aswin. Sometimes the website ignores my reply and skips to the next question <This message was edited>"
feedback unclear from transcription,3,Technical | UI/UX,"Madhuhasan R: [09/04/26, 2:52:07 PM] [Audio note transcription] and a box and a company name and a box and a box and || Mr. Undefined: [09/04/26, 2:32:57 PM] [Audio note transcription] voice from Also something like that's my place.. I use nothing like that, but I also play as Temperamente It takes a lot of contact with people and Part of Black James... || Nandhini: [09/04/26, 2:20:10 PM] [Audio note transcription] Hi, I'm Minnie. Starting here. ergonomic Followings I should make sure everyone is in their midsea contact. Then the region. We can set elects every rocking in one gro..."
audio not recorded,2,Technical,"Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was... || Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d..."
connection/agent join failure,2,Technical,"dharvindharvin00: [09/04/26, 2:27:17 PM] Hi I am Jesudhas Dharvin. I faced an issue where the session did not connect . Even after refreshing twice, it kept showing waiting for agent to join. || Indhu R: [09/04/26, 2:22:20 PM] Hi, I am Indhu. First, I did the pre-diagnostics on my mobile, but it didn’t open—it was showing “waiting for agent to join.” Then I tried the pre-diagnostics on my laptop; it got connected, but..."
delete control missing,2,UI/UX,"Yalini: [09/04/26, 2:21:57 PM] I am yalini. I attended pre-diagnostics on the laptop. I like its questions. Sometimes transcripts are wrong, and sometimes it was not able to hear my answers. voice record panna aprom stop pann... || ~💜: [09/04/26, 2:33:15 PM] I'm Preethi, Naa laptop la pannan UI nalla irunthuchi but lap la use pandra appo lap view la iruntha nalla irukum.Voice msg pesura appo text show ana nalla irukum and athula naa mistake ah ans p..."
exit/end control unclear,2,UI/UX,"Alice Mary: [09/04/26, 2:18:13 PM] I am Alice Mary 1.The transcript was not available for me 2.The response time was slow 3. I don't know where the exit option was <This message was edited> || Rajarajeshwari 🖤: [09/04/26, 2:37:50 PM] Hii, I am Rajarajeshwari. I attended the pre-diagnostics on the phone. I liked the UI; it’s very clear and easy to understand. The way it speaks slowly and explains things simply is really helpf..."
layout/card sizing issue,2,UI/UX,"~<Hani>~°: [09/04/26, 2:35:20 PM] [Audio note transcription] Hi, I'm Siddhi. My name is Nav charts. Since this was done, I've had a near crisisuit of 200-Rex distinctrehensive pulp. I'm qualified to guides you in the Q&A which i... || ~💜: [09/04/26, 2:33:15 PM] I'm Preethi, Naa laptop la pannan UI nalla irunthuchi but lap la use pandra appo lap view la iruntha nalla irukum.Voice msg pesura appo text show ana nalla irukum and athula naa mistake ah ans p..."
live subtitle/transcript preview missing,2,UI/UX,"Nathi 💜🌊: [09/04/26, 2:20:00 PM] 1. Na ethuvum pesama 2 time (tap to speak) Button click panna antha current question ku answer pananmaley next question ku move agiruchi apdy illama answer the privious question antha mari ethac... || Rajarajeshwari 🖤: [09/04/26, 2:37:50 PM] Hii, I am Rajarajeshwari. I attended the pre-diagnostics on the phone. I liked the UI; it’s very clear and easy to understand. The way it speaks slowly and explains things simply is really helpf..."
live transcript preview missing,2,Technical | UI/UX,"Samuel Devanathan: [09/04/26, 2:36:38 PM] Hi Ma'am I'm SamueI ,I was testing on my laptop ,I noticed that the voice recognition sometimes misinterprets words—for example, it hears one stack instead of MERN stack. Also, there's a small U... || ~💜: [09/04/26, 2:33:15 PM] I'm Preethi, Naa laptop la pannan UI nalla irunthuchi but lap la use pandra appo lap view la iruntha nalla irukum.Voice msg pesura appo text show ana nalla irukum and athula naa mistake ah ans p..."
agent startup delay,1,Conversational,"Saravana Perumal: [09/04/26, 2:20:52 PM] [Audio note transcription] introducereve Sher BG so after Also, in the beginning, the character changed. But when there are changes in word, here starting mates comes before us. Again, on the se..."
answer not captured correctly,1,Technical,"🫣🫢❤️‍🩹MY LIFE MOM DAD🫣🫢❤️‍🩹: [09/04/26, 2:52:01 PM] I am Thrisha. My problem is when someone asks me a question I try to answer but my answer is not correct. When I say something it comes out differently. The questions are easy but when I speak t..."
audio break/voice break,1,Technical,"SRIRAM: [09/04/26, 2:28:54 PM] [Audio note transcription] Hi, my name is Sriram. I am from Chennai. I am studying at FSS and I am under the pre-diagnostic session. During that, they asked questions very good. The questions ar..."
audio clarity issue,1,Technical,"Roman Ranjith: [09/04/26, 2:18:31 PM] I am Ranjith Kumar. I am using a laptop. My feedback is that when I speak to the AI, it is not clear and I cannot hear it properly at times. It would be better if there was a microphone feature...."
audio not heard/captured,1,UI/UX,"Yalini: [09/04/26, 2:21:57 PM] I am yalini. I attended pre-diagnostics on the laptop. I like its questions. Sometimes transcripts are wrong, and sometimes it was not able to hear my answers. voice record panna aprom stop pann..."
audio volume issue,1,Technical,"Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d..."
connection/agent join delay,1,Technical,"Hari Aswin 🦅💥: [09/04/26, 2:17:22 PM] [Audio note transcription] Hi mom, I am Harishan. I am the full application news for the Bhutan. I am full on the first two minutes waiting for the agent to come to connect. Connect to the first..."
connection/reattempt failure,1,Technical,"rajamania703: [09/04/26, 2:28:45 PM] Hi Ma’am/Sir, I am Ragavi. 1. While I was attending the interview, before I could complete one question, it automatically exited. 2. After it exited, I tried to reattempt, but I was asked to wai..."
conversation repetitive/fixed,1,Conversational,"Sarathasharu: [09/04/26, 2:57:24 PM] Hi, I am Sarathadevi. I attended the interview on a laptop. When I speak one thing, it gives a different response. It keeps talking about the same topic continuously. Without understanding what ..."
conversation unclear from transcription,1,Conversational,"Abirami R💚❤️: [09/04/26, 2:29:27 PM] [Audio note transcription] So, I don't know if you have any questions or not. I just want to talk about the the the the the the the the the the the the the the the the the the the the the the th..."
delete/stop control missing,1,Technical,"Samuel Devanathan: [09/04/26, 2:36:38 PM] Hi Ma'am I'm SamueI ,I was testing on my laptop ,I noticed that the voice recognition sometimes misinterprets words—for example, it hears one stack instead of MERN stack. Also, there's a small U..."
delete/undo control missing,1,UI/UX,"Rajarajeshwari 🖤: [09/04/26, 2:37:50 PM] Hii, I am Rajarajeshwari. I attended the pre-diagnostics on the phone. I liked the UI; it’s very clear and easy to understand. The way it speaks slowly and explains things simply is really helpf..."
feature request: English learning/grammar support,1,Technical,"Dhanushkumar: [09/04/26, 2:34:32 PM] [Audio note transcription] Hi, I am Dhanos Kumar. I use the interview application in Lata. First, you know, you aid in the sopran. When speak on the other, other chat box, Marie, in the UI, you ..."
headphone/device continuity issue,1,Technical,"Ibbu 🤙: [09/04/26, 2:21:14 PM] I am ibrahim I connected through mobile it was a good experience having a conversation with the agent but in few times the ai didn't recognise the words clearly and properly and few times It was..."
keyboard icon/confusing control,1,Technical,"Muthu selvi🧚🏻‍♀️🤍: [09/04/26, 2:21:47 PM] I am Muthu Selvi. I am using a laptop. Sometimes, when I speak, my words are not understood correctly, and they change. Sometimes it understands correctly and responds fast, but other times it d..."
language detection issue,1,Technical,"Kavi🫴🏻💗: [09/04/26, 2:33:23 PM] Hi, I am kaviyarasan, I am using la laptop. The app has a clean and user-friendly UI, making it easy to navigate. However, there is an issue with the speech-to-text feature. When I speak in Engl..."
latency/loading,1,Technical,"🖤«~Diva~»🖤: [09/04/26, 2:23:53 PM] I am facing an issue with the Intervoo app. It takes a long time to load, and after multiple attempts, it directly shows the session as “finished” without giving me a chance to speak or start th..."
latency/waiting,1,Technical,"rajamania703: [09/04/26, 2:28:45 PM] Hi Ma’am/Sir, I am Ragavi. 1. While I was attending the interview, before I could complete one question, it automatically exited. 2. After it exited, I tried to reattempt, but I was asked to wai..."
layout width issue,1,Technical,"SRIRAM: [09/04/26, 2:28:54 PM] [Audio note transcription] Hi, my name is Sriram. I am from Chennai. I am studying at FSS and I am under the pre-diagnostic session. During that, they asked questions very good. The questions ar..."
layout/positioning issue,1,Technical,"Dhanushkumar: [09/04/26, 2:34:32 PM] [Audio note transcription] Hi, I am Dhanos Kumar. I use the interview application in Lata. First, you know, you aid in the sopran. When speak on the other, other chat box, Marie, in the UI, you ..."
live caption missing,1,Technical,"SRIRAM: [09/04/26, 2:28:54 PM] [Audio note transcription] Hi, my name is Sriram. I am from Chennai. I am studying at FSS and I am under the pre-diagnostic session. During that, they asked questions very good. The questions ar..."
message bubble not visible,1,Technical,"Samuel Devanathan: [09/04/26, 2:36:38 PM] Hi Ma'am I'm SamueI ,I was testing on my laptop ,I noticed that the voice recognition sometimes misinterprets words—for example, it hears one stack instead of MERN stack. Also, there's a small U..."
mic interaction difficult,1,Technical,"Sneha: [09/04/26, 2:20:17 PM] I am Sneha one good feature in the website is that during the first login the option to choose how to attend the interview was very useful however speaking in the next step with the mic turned o..."
mic/recording quality issue,1,Technical,"Roman Ranjith: [09/04/26, 2:18:31 PM] I am Ranjith Kumar. I am using a laptop. My feedback is that when I speak to the AI, it is not clear and I cannot hear it properly at times. It would be better if there was a microphone feature...."
mobile/laptop compatibility issue,1,Technical,"Mohamed idhrish: [09/04/26, 2:31:21 PM] [Audio note transcription] Overall, the laptop is not a pre-diagonal system. The system is not an agent. The agent is not a conversation. The laptop is not a mobile phone. The screen is not a mo..."
pause/delete control missing,1,UI/UX,"THARHANI .V.S: [09/04/26, 2:16:31 PM] I'm Tharhani .V.S I have recorded in mobile 1.Maybe the voice recording could have been paused or deleted option. 2.When it becomes a transcript, it changes."
positive: UI neat/simple,1,UI/UX,"Yalini: [09/04/26, 2:21:57 PM] I am yalini. I attended pre-diagnostics on the laptop. I like its questions. Sometimes transcripts are wrong, and sometimes it was not able to hear my answers. voice record panna aprom stop pann..."
positive: fast reply,1,Conversational,"a9150817289: [09/04/26, 2:21:08 PM] 1. Indha AI nalla friendly ya communicate pannudhu plus na pesuradha nala abserve pannaudhu na word thappa pronoun pannalum na sollavaradha correct ah catch panni enkooda communicate panudhu . 2..."
positive: friendly communication,1,Conversational,"a9150817289: [09/04/26, 2:21:08 PM] 1. Indha AI nalla friendly ya communicate pannudhu plus na pesuradha nala abserve pannaudhu na word thappa pronoun pannalum na sollavaradha correct ah catch panni enkooda communicate panudhu . 2..."
positive: preferred-name prompt,1,Conversational,"Saravana Perumal: [09/04/26, 2:20:52 PM] [Audio note transcription] introducereve Sher BG so after Also, in the beginning, the character changed. But when there are changes in word, here starting mates comes before us. Again, on the se..."
positive: questions clear/simple,1,Technical,"మహాలక్ష్మి: [09/04/26, 2:21:19 PM] I am Maga M from FSSA Section C. I attended the interview pre-diagnostic on my mobile phone. It was a good experience communicating with Sana AI. The questions were asked clearly and in basic En..."
positive: reflective experience,1,UI/UX,"◦•●◉✿Jeslin 😊 ✿◉●•◦: [09/04/26, 2:32:15 PM] I am jeslin,I take this interview in my phone This idea is good to reflect ourself image omitted"
positive: text display useful,1,Conversational,"a9150817289: [09/04/26, 2:21:08 PM] 1. Indha AI nalla friendly ya communicate pannudhu plus na pesuradha nala abserve pannaudhu na word thappa pronoun pannalum na sollavaradha correct ah catch panni enkooda communicate panudhu . 2..."
reply ignored,1,Technical,"🥰..................💙: [09/04/26, 2:25:26 PM] I am Aswin. Sometimes the website ignores my reply and skips to the next question <This message was edited>"
response not understanding student,1,Conversational,"Sarathasharu: [09/04/26, 2:57:24 PM] Hi, I am Sarathadevi. I attended the interview on a laptop. When I speak one thing, it gives a different response. It keeps talking about the same topic continuously. Without understanding what ..."
session auto-exit,1,Technical,"rajamania703: [09/04/26, 2:28:45 PM] Hi Ma’am/Sir, I am Ragavi. 1. While I was attending the interview, before I could complete one question, it automatically exited. 2. After it exited, I tried to reattempt, but I was asked to wai..."
session auto-finished before start,1,Technical,"🖤«~Diva~»🖤: [09/04/26, 2:23:53 PM] I am facing an issue with the Intervoo app. It takes a long time to load, and after multiple attempts, it directly shows the session as “finished” without giving me a chance to speak or start th..."
session ended before student finished,1,Conversational,"a9150817289: [09/04/26, 2:21:08 PM] 1. Indha AI nalla friendly ya communicate pannudhu plus na pesuradha nala abserve pannaudhu na word thappa pronoun pannalum na sollavaradha correct ah catch panni enkooda communicate panudhu . 2..."
stop/send flow missing,1,UI/UX,"Yalini: [09/04/26, 2:21:57 PM] I am yalini. I attended pre-diagnostics on the laptop. I like its questions. Sometimes transcripts are wrong, and sometimes it was not able to hear my answers. voice record panna aprom stop pann..."
text rendering/random characters,1,UI/UX,"G.Sujiத்ரா 🙂😎: [09/04/26, 2:45:08 PM] It’s not showing what I type it’s showing random characters"
unable to attend,1,Technical,"🖤«~Diva~»🖤: [09/04/26, 2:23:53 PM] I am facing an issue with the Intervoo app. It takes a long time to load, and after multiple attempts, it directly shows the session as “finished” without giving me a chance to speak or start th..."
word framing/wording issue,1,Technical,"మహాలక్ష్మి: [09/04/26, 2:21:19 PM] I am Maga M from FSSA Section C. I attended the interview pre-diagnostic on my mobile phone. It was a good experience communicating with Sana AI. The questions were asked clearly and in basic En..."
